epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.617,0,279687,0,0,0,0,0,0,24125,0,0.00330508,0.00330508,0.00330508
2,151.765,0,111.776,0,0,0,0,0,0,0,0,0.00661651,0.00661651,0.00661651
3,178.452,0,0.01042,0,0,0,0,0,0,0,0,0.00990594,0.00990594,0.00990594
4,209.559,0,0.04391,0,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
5,240.676,0,0.00149,0,0,0,0,0,0,0,0,0.009868,0.009868,0.009868
6,271.871,0,0.00174,0,0,0,0,0,0,0,0,0.009835,0.009835,0.009835
7,303.033,0,0.00036,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
8,334.131,0,0.00024,0,0,0,0,0,0,0,0,0.009769,0.009769,0.009769
9,365.213,0,0.00098,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
10,396.335,0,7e-05,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
11,427.844,0,0.00011,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
12,459.048,0,6e-05,0,0,0,0,0,0,0,0,0.009637,0.009637,0.009637
